Word Length, Fractional Bits, Prediction phase, avg Prediction accuracy, min Prediction accuracy, avg w1, avg b1, avg w2, avg b2, avg w2, avg b3, min w1, min b1, min w2, min b2, min w2, min b3
16, 12, 0.104, 0.0837632, -0.21544, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
18, 4, 0.644, 0.679063, -0.730537, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
18, 5, 0.898, 0.994506, 0.275243, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
18, 6, 0.898, 0.999954, 0.999727, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
18, 7, 0.9, 0.999816, 0.998935, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
18, 8, 0.9, 0.999275, 0.996137, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
18, 9, 0.888, 0.997191, 0.984715, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
18, 10, 0.876, 0.990338, 0.929326, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
18, 11, 0.814, 0.964219, 0.737751, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
18, 12, 0.602, 0.746967, -0.0942174, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
18, 13, 0.226, 0.163858, -0.310818, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
20, 4, 0.64, 0.674411, -0.729124, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
20, 5, 0.896, 0.992825, 0.136751, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
20, 6, 0.9, 0.999999, 0.999982, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
20, 7, 0.9, 0.999991, 0.999926, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
20, 8, 0.898, 0.999954, 0.999727, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
20, 9, 0.9, 0.999816, 0.998935, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
20, 10, 0.9, 0.999275, 0.996137, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
20, 11, 0.888, 0.997191, 0.984715, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
20, 12, 0.876, 0.990338, 0.929326, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
20, 13, 0.814, 0.964219, 0.737751, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
20, 14, 0.602, 0.746967, -0.0942174, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
20, 15, 0.226, 0.163858, -0.310818, 0.977019, 0.983465, 0.97448, 0.982667, 0.905685, 0.971917, 0.942471, 0.983465, 0.925246, 0.982667, 0.817462, 0.971917
